app_id,tag
289070,Building
289070,Management
289070,Great Soundtrack
289070,Moddable
289070,Online Co Op
289070,Co op
289070,Atmospheric
1794680,Bullet Hell
1794680,Pixel Graphics
1794680,Roguelite
1794680,2D
1794680,Indie
1794680,Singleplayer
1794680,Casual
1794680,Action
1794680,Arcade
1794680,RPG
1794680,Controller
1794680,Retro
1794680,Score Attack
1794680,Roguelike
1794680,Action RPG
1794680,Dark Fantasy
1794680,Early Access
1794680,1980s
976730,FPS
976730,Classic
976730,Multiplayer
976730,Sci fi
976730,Story Rich
976730,Co op
976730,First Person
976730,Action
976730,Shooter
976730,Singleplayer
976730,Aliens
976730,Lore Rich
976730,Beautiful
976730,Space
976730,Atmospheric
976730,Adventure
976730,Horror
976730,Online Co Op
1118200,Physics
1118200,Gore
1118200,Blood
1118200,Violent
1118200,Moddable
1118200,2D
1118200,Singleplayer
1118200,Destruction
1118200,Simulation
1118200,Funny
1118200,Building
1118200,Pixel Graphics
1118200,Psychological Horror
1118200,Indie
1118200,Casual
1118200,Action
1118200,Horror
1118200,Comedy
1118200,Choose Your Own Adventure
251570,Survival
251570,Zombies
251570,Open World
251570,Multiplayer
251570,Open World Survival Craft
251570,Post apocalyptic
251570,Base Building
251570,Online Co Op
251570,Exploration
251570,Building
251570,Sandbox
251570,Simulation
251570,FPS
251570,Strategy
251570,Character Customization
251570,Action
251570,Tower Defense
251570,Procedural Generation
251570,Early Access
1468810,Management
1468810,Singleplayer
1468810,Mythology
1468810,Sandbox
1468810,Simulation
1468810,RPG
1468810,Choose Your Own Adventure
1468810,Dating Sim
1468810,Action
1468810,Adventure
1468810,Exploration
1468810,2D
1468810,Sexual Content
1468810,Fantasy
1468810,Action RPG
1468810,Action Adventure
1468810,Hand drawn
1468810,Story Rich
1468810,Strategy RPG
49520,Shooter
49520,Action
49520,Multiplayer
49520,Co op
49520,FPS
49520,RPG
49520,First Person
49520,Funny
49520,Comedy
49520,Open World
49520,Combat
49520,Online Co Op
49520,Adventure
49520,Action RPG
49520,Dark Humor
49520,Singleplayer
49520,Memes
49520,Sci fi
548430,PvE
548430,FPS
548430,Exploration
548430,Procedural Generation
548430,Shooter
548430,Loot
548430,First Person
548430,Sci fi
548430,Space
548430,Action
548430,Atmospheric
548430,Combat
548430,Horror
548430,Survival
548430,Action Roguelike
548430,Dark
548430,Open World
391540,Story Rich
391540,Choices Matter
391540,Multiple Endings
391540,Pixel Graphics
391540,Funny
391540,RPG
391540,Singleplayer
391540,Indie
391540,Comedy
391540,2D
391540,Replay Value
391540,Bullet Hell
391540,Cute
391540,Memes
391540,Retro
391540,Dark
391540,Psychological Horror
391540,Dating Sim
391540,Horror
261550,Strategy
261550,Open World
261550,RPG
261550,War
261550,Sandbox
261550,Multiplayer
