Reviews Coeff,Reviews Threshold,From (Year),To (Year),Tags,,,How to use:,,
32,50,2020,2023,CRPG,,,"        • Choose up to 3 tags
        • Choose year range 
        • Adjust Sort by, Review Threshold and Coeff if needed.
        • Wait a bit.",,
Sort by,Median Launch Price,Median Reviews,Total Games,Median Owners,Median Revenue,Median Score,,,
Reviews Total,"$15,49",219,132,7 008,"$39 937,83",82%,,,
App ID,Title,Reviews Total,Reviews Score Fancy,Release Date,Launch Price,Steam Page,Tags,Owners Estimated,Revenue Estimated
957710,The Waylanders,346,49%,2022-02-02,"$34,99",https://store.steampowered.com/app/957710,"RPG, Adventure, Action, Strategy, Indie, Nudity, Fantasy, Singleplayer, Party Based RPG, Story Rich, CRPG, Tactical RPG, Character Customization, Real Time with Pause, Great Soundtrack, Old School, Kickstarter, Strategy RPG, Early Access",11072,$148 497
1308700,Wizardry: The Five Ordeals,344,85%,2021-12-17,"$29,99",https://store.steampowered.com/app/1308700,"Early Access, Dungeon Crawler, RPG, Hack and Slash, Turn Based, CRPG, Party Based RPG, Character Customization, JRPG, First Person, 2D, 3D, Turn Based Combat, Grid Based Movement, Fantasy, Old School, Retro, Adventure, Singleplayer, Indie",11008,$126 542
993790,Ancient Enemy,341,91%,2020-04-09,"$14,99",https://store.steampowered.com/app/993790,"Card Battler, CRPG, Solitaire, Fantasy, Turn Based Combat, Turn Based, RPG, Casual, Strategy, Card Game, Exploration, Character Customization, Post apocalyptic, Relaxing, Historical, Adventure, Magic, Story Rich, Dark, Dark Fantasy",10912,$62 698
1483370,The Use of Life,294,91%,2022-05-21,"$17,99",https://store.steampowered.com/app/1483370,"CRPG, Choose Your Own Adventure, JRPG, Turn Based Strategy, RPG, 2D, Turn Based Combat, Story Rich, Dark Fantasy, Fantasy, Adventure, Retro, Quick Time Events, Singleplayer, Indie, Early Access, RPGMaker, Free to Play",9408,$64 875
1648730,S.O.T.A 2,292,58%,2021-07-14,"$4,99",https://store.steampowered.com/app/1648730,"Early Access, RPG, Simulation, Action, Sandbox, Action Adventure, Action RPG, Shooter, MMORPG, Exploration, CRPG, Looter Shooter, Choose Your Own Adventure, Third Person Shooter, Tactical RPG, 3D, Third Person, Realistic, Survival, Atmospheric",9344,$17 872
1217410,孟德大小姐与自爆少年THREE KINGDOM FANTASY,275,70%,2023-04-19,"$7,99",https://store.steampowered.com/app/1217410,"Historical, Visual Novel, Story Rich, RPG, Emotional, Interactive Fiction, Romance, CRPG, Word Game, Dating Sim, Clicker, 2D, Text Based, Alternate History, Linear, Simulation, Drama, Cinematic, Singleplayer, Indie",8800,$26 951
1594400,GAI Stops Auto: Right Version Simulator,269,87%,2021-06-04,"$2,99",https://store.steampowered.com/app/1594400,"Simulation, Funny, Comedy, Memes, Open World, Story Rich, Action, Third Person, Automobile Sim, Conversation, Indie, 3D, CRPG, RPG, Modern, Choose Your Own Adventure, Life Sim, Casual, Adventure, Singleplayer",8608,$9 866
1542280,明星志願2,262,82%,2022-03-30,"$7,99",https://store.steampowered.com/app/1542280,"Dating Sim, Female Protagonist, Story Rich, Multiple Endings, Casual, 1990s, Singleplayer, Simulation, 2D, Otome, Drama, Lore Rich, Romance, Relaxing, CRPG, Modern, Stylized, Interactive Fiction",8384,$25 677
1361010,Vampires Dawn 3 - The Crimson Realm,261,81%,2021-05-19,"$15,99",https://store.steampowered.com/app/1361010,"RPG, Party Based RPG, JRPG, Vampire, Adventure, Pixel Graphics, Drama, Retro, 2D, Open World, Anime, CRPG, Dark Fantasy, Old School, Dark, Story Rich, Fantasy, Werewolves, Multiple Endings, Dark Humor",8352,$51 190
1623880,Noob - The Factionless,258,87%,2023-06-29,"$29,99",https://store.steampowered.com/app/1623880,"RPG, Adventure, Turn Based Combat, Story Rich, Strategy RPG, Retro, CRPG, Magic, Turn Based Strategy, Creature Collector, 3D, Turn Based Tactics, Cartoony, Hand drawn, Family Friendly, Trading, Singleplayer, Conversation, Indie, Early Access",8256,$94 906
1424710,Geneforge 1 - Mutagen,257,92%,2021-02-24,"$19,99",https://store.steampowered.com/app/1424710,"CRPG, Dungeon Crawler, RPG, Turn Based, Party Based RPG, Strategy, Turn Based Strategy, 2D, Isometric, Story Rich, Adventure, Turn Based Combat, Fantasy, Grid Based Movement, Old School, Indie, Retro, Singleplayer",8224,$63 015
1798020,Mega Man Battle Network Legacy Collection Vol. 2,254,92%,2023-04-13,"$39,99",https://store.steampowered.com/app/1798020,"RPG, Action, Action RPG, Pixel Graphics, Singleplayer, Deckbuilding, Retro, PvP, Trading, 2D, Science, PvE, CRPG, Anime, JRPG",8128,$124 590
875800,Wasteland Remastered,220,71%,2020-02-25,"$14,99",https://store.steampowered.com/app/875800,"RPG, Strategy, Post apocalyptic, Violent, Sexual Content, Tactical RPG, Retro, Cult Classic, CRPG, Singleplayer, Sci fi",7040,$40 450
